Participants_id	Genotype	Sex	Weight (fcMRI Day 1)
			
AL011	WT	M	26.6
AL020	WT	M	26.1
AL022	WT	M	28.6
AL024	WT	M	29.2
AL026	WT	M	28.5
AL027	WT	M	27
AL030	WT	M	28.8
AL032	WT	M	26.5
AL033	WT	M	28.2
AL034	WT	M	24.3
AL035	WT	M	29.7
AL038	WT	M	28.7
AL039	WT	M	26.5
AL012	IQSEC2	M	27.2
AL013	IQSEC2	M	26.8
AL014	IQSEC2	M	26.4
AL015	IQSEC2	M	27.5
AL021	IQSEC2	M	31.2
AL023	IQSEC2	M	25.5
AL025	IQSEC2	M	29.8
AL028	IQSEC2	M	29.2
AL029	IQSEC2	M	28.7
AL031	IQSEC2	M	26.5
AL036	IQSEC2	M	27.6
AL037	IQSEC2	M	27.6
AL040	IQSEC2	M	28

